name,address,email,phone_number
0777369660,,,
BISHOP CIPRIANO KIHANGIRE,,,
"BISHOPS ANGELO NEGRI COLLEGE, GULU",,,
BRITISH SCHOOL OF KAMPALA,,,
BUBBLES KINDERGARTEN SCHOOL- LIRA,,,
BUSY ANTS INTERNATIONAL SCHOOL,,,
CHRIST FOUNDATION NURSERY SCHOOL,,,
CHRIST THE CENTER SCHOOL,,,
DESTINY JUNIOR NURSERY AND PRIMARY SCHOOL,,,
ELASTO & DORAH PRIMARY SCHOOL,,,
ELSHADAI PRIMARY SCHOOL,,,
"EMMANUEL BOARDING PRIMARY SCHOOL LAROO, GULU",,,
FR. JOHN SCALABRINI SCHOOL,,,
"GLOBAL VIEW PREPARATORY SCHOOL, KITGUM",,,
GULU CORE DEMONSTRATION,,,
GULU PUBLIC PRIMARY SCHOOL,,,
HAVILLALAND NURSERY AND PRIMARY SCHOOL,,,
HILDER PRIMARY SCHOOL,,,
HOLY ROSARY PRIMARY SCHOOL,,,
HOPE OF GLORY CHRISTIAN PRIMARY SCHOOL,,,
ILLI VALLEY PRIMARY SCHOOL,,,
JULIA AND JULIANA NURSERY AND PRIMARY SCHOOL,,,
KAKUMA VOCATIONAL CENTER,,,
KINDERPLANET,,,
LACOR PARENTS PRIMARY SCHOOL,,,
LAYIBI TECHO,,,
LITTLE LILLIES NURSERY AND PRIMARY SCHOOL,,,
MACOS UGANDA LIMITED,,,
MAMA CATHERINE PRIMARY SCHOOL,,,
MAMA CAVE PRIMARY,,,
MAMA TEREZA,,,
"MARY IMMACULATE PRIMARY SCHOOL, GULU",,,
MAY'S JUNIOR PRIMARY SCHOOL - LALIYA,,,
MMANUEL JUNIOR SCHOOL,,,
MOTHER ALICE,,,
MOTHER ANGELICA JUNIOR SCHOOL,,,
MOTHER LUDIA NURSARY AND PRIMARY SCHOOL,,,
MOTHER LUDIA NURSERY SCHOOL,,,
MOTHET LUDIA,,,
MOUNT ZION NURSERY & PRIMARY SCHOOL,,,
MT. OLIVE GOOD SHERPERD,,,
"MT. ST. MARYâ€™S COLLEGE,NAMAGUNGA",,,
MUMMY NEST PRIMARY SCHOOL,,,
N/A,,,
NAMUGONGO PRIMARY SCHOOL,,,
NOT IN SCHOOL YET,,,
OCER JESUIT CHAMPION,,,
OPIT MODERN PRIMARY SCHOOL,,,
PASSION CARE PRIMARY SCHOOL,,,
PECE PRIMARY,,,
RESTORE LEADERSHIP ACADEMY,,,
SACRED HEART GIRLS SCHOOL,,,
ST MARY'S COLLEGE LUGAZI,,,
ST MATHEW PREPARATORY SCHOOL LAROO,,,
ST PETERS PRIMARY SCHOOL NSAMBYA,,,
ST. AGNES CATHOLIC GIRLS BOARDING PRIMARY SCHOOL,,,
"ST. JOHN PAUL II COLLEGE, LALIYA",,,
ST. JUDITH JUNIOR CITY SCHOOL,,,
ST. KIZITO AYWEE,,,
ST. MAURITZ,,,
TOWN VIEW,,,
TUMUHIRI KIDS,,,
VANGUARD PRIMARY SCHOOL,,,
VERITAS JUNIOR PRIMARY SCHOOL,,,
WAKADOGO SCHOOLS,,,
